#
#    ID                (A9)    Cluster identification number [ucd=meta.id;phys.atmol.number]
#    RAJ2000 ("h:m:s") (A10)   Right Ascension J2000 [ucd=pos.eq.ra;meta.main]
#    DEJ2000 ("d:m:s") (A9)    Declination J2000 [ucd=pos.eq.dec;meta.main]
#    GLON (deg)        (F6.2)  Galactic longitude [ucd=pos.galactic.lon]
#    GLAT (deg)        (F6.2)  Galactic latitude [ucd=pos.galactic.lat]
#    Rsun (kpc)        (F5.1)  ? Distance from Sun [ucd=pos.distance;pos.heliocentric]
#    Rgc (kpc)         (F5.1)  ? Distance from Galactic center, assuming R(Sun)=8.0 kpc [ucd=pos.distance;pos.galactocentric]
#    Vt (mag)          (F5.2)  ? Integrated V magnitude of the cluster [ucd=phot.mag;em.opt]
#    [Fe/H] (Sun)      (F5.2)  ? Metallicity in log (base 10) scale [ucd=instr.scale]
#--------- ---------- --------- ------ ------ ----- ----- ----- -----
#                                                               [F   
#          RAJ2000    DEJ2000   GLON   GLAT   Rsun  Rgc   Vt    e/H] 
#ID        ("h:m:s")  ("d:m:s") (deg)  (deg)  (kpc) (kpc) (mag) (Sun)
#--------- ---------- --------- ------ ------ ----- ----- ----- -----
NGC 104   00 24 05.2 -72 04 51 305.90 -44.89   4.3   7.3  3.95 -0.76
NGC 288   00 52 47.5 -26 35 24 152.28 -89.38   8.1  11.4  8.09 -1.24
NGC 362   01 03 14.3 -70 50 54 301.53 -46.25   8.3   9.2  6.40 -1.16
NGC 1261  03 12 15.3 -55 13 01 270.54 -52.13  16.0  17.9  8.29 -1.35
Pal 1     03 33 23.0 +79 34 50 130.07  19.03   9.7  15.9 13.52 -0.80
AM 1      03 55 02.7 -49 36 52 258.36 -48.47 119.1 120.5 15.72 -1.80
Eridanus  04 24 44.5 -21 11 13 218.11 -41.33  80.8  85.8 14.70 -1.46
Pal 2     04 46 05.9 +31 22 51 170.53  -9.07  26.9  34.8 13.04 -1.30
NGC 1851  05 14 06.3 -40 02 50 244.51 -35.04  12.2  16.8  7.14 -1.26
NGC 1904  05 24 10.6 -24 31 27 227.23 -29.35  12.6  18.5  7.73 -1.54
NGC 2298  06 48 59.2 -36 00 19 245.63 -16.01  10.6  15.6  9.29 -1.85
NGC 2419  07 38 08.5 +38 52 55 180.37  25.24  82.3  89.6 10.39 -2.12
Pyxis     09 07 57.8 -37 13 17 261.32   7.00  38.5  40.5 12.90 -1.20
NGC 2808  09 12 02.6 -64 51 47 282.19 -11.25   9.3  10.9  6.20 -1.37
E 3       09 20 59.3 -77 16 57 292.27 -19.02   4.2   7.6 11.35 -0.80
Pal 3     10 05 31.4 +00 04 17 240.14  41.86  89.4  92.6 14.26 -1.66
NGC 3201  10 17 36.8 -46 24 40 277.23   8.64   5.1   8.9  6.75 -1.48
Pal 4     11 29 16.8 +28 58 25 202.31  71.80  99.6 102.2 14.20 -1.48
NGC 4147  12 10 06.2 +18 32 31 252.85  77.19  18.8  20.9 10.32 -1.83
NGC 4372  12 25 45.4 -72 39 33 300.99  -9.88   4.9   6.9  7.24 -2.09
Rup 106   12 38 40.2 -51 09 01 300.89  11.67  20.6  18.0 10.90 -1.80
NGC 4590  12 39 28.0 -26 44 34 299.63  36.05  10.1  10.0  7.84 -2.06
NGC 4833  12 59 35.0 -70 52 29 303.61  -8.01   5.9   6.9  6.91 -1.79
NGC 5024  13 12 55.3 +18 10 09 332.96  79.76  18.4  18.9  7.61 -2.07
NGC 5053  13 16 27.0 +17 41 53 335.69  78.94  16.2  16.8  9.47 -2.29
NGC 5139  13 26 45.9 -47 28 37 309.10  14.97   5.1   6.3  3.68 -1.62
NGC 5272  13 42 11.2 +28 22 32  42.21  78.71  10.0  11.9  6.19 -1.57
NGC 5286  13 46 26.5 -51 22 24 311.61  10.57  10.7   8.2  7.34 -1.67
AM 4      13 55 50.1 -27 10 22 320.15  33.54  29.2  24.8 15.90 -2.00
NGC 5466  14 05 27.3 +28 32 04  42.15  73.59  16.6  16.9  9.04 -2.22
NGC 5634  14 29 37.3 -05 58 35 342.21  49.26  25.3  21.3  9.47 -1.82
NGC 5694  14 39 36.5 -26 32 18 331.06  30.36  33.9  28.3 10.17 -1.86
IC 4499   15 00 18.5 -82 12 49 307.35 -20.47  18.4  15.4  9.76 -1.60
NGC 5824  15 03 58.5 -33 04 04 332.55  22.07  31.3  25.1  9.09 -1.85
Pal 5     15 16 05.3 -00 06 41   0.85  45.86  22.6  18.0 11.75 -1.38
NGC 5897  15 17 24.5 -21 00 37 342.95  30.29  12.7   7.6  8.53 -1.80
NGC 5904  15 18 33.8 +02 04 58   3.86  46.80   7.3   6.1  5.65 -1.29
NGC 5927  15 28 00.5 -50 40 22 326.60   4.86   7.4   4.5  8.01 -0.37
NGC 5946  15 35 28.5 -50 39 34 327.58   4.19  12.3   7.1  9.61 -1.38
BH 176    15 39 07.3 -50 03 02 328.41   4.34  15.2   9.4 14.00 
NGC 5986  15 46 03.5 -37 47 10 337.02  13.27  10.3   4.7  7.52 -1.67
Lynga 7   16 11 03.0 -55 18 52 328.77  -2.79   7.0   4.2       -0.62
Pal 14    16 11 04.9 +14 57 29  28.75  42.18  72.2  67.3 14.74 -1.52
NGC 6093  16 17 02.5 -22 58 30 352.67  19.46   8.7   3.1  7.33 -1.62
NGC 6121  16 23 35.5 -26 31 31 350.97  15.97   2.2   6.0  5.63 -1.20
NGC 6101  16 25 48.6 -72 12 06 317.75 -15.82  15.1  11.0  9.16 -1.82
NGC 6144  16 27 14.1 -26 01 29 351.93  15.70  10.1   3.4  9.01 -1.73
NGC 6139  16 27 40.4 -38 50 56 342.37   6.94  10.5   3.9  8.99 -1.65
Terzan 3  16 28 40.1 -35 21 13 345.08   9.19  26.4  18.9 12.00 
NGC 6171  16 32 31.9 -13 03 13   3.37  23.01   6.3   3.3  7.93 -1.04
1636-283  16 39 25.5 -28 23 52 351.91  12.10   7.6   2.0 12.00 
NGC 6205  16 41 41.5 +36 27 37  59.01  40.91   7.0   8.3  5.78 -1.54
