0.0		0.0		5.0
0.09		114.58		18.50
0.19		130.28		8.20
0.3		132.77		19.63
0.42		135.07		8.39
0.56		140.83		19.08
0.7		152.06		28.90
0.86		162.64		4.773
1.04		168.68		28.32
1.23		171.57		17.17
1.45		173.31		10.79
1.68		175.28		1.512
1.94		176.81		34.36
2.23		178.75		29.23
2.54		181.15		6.917
2.89		183.68		29.59
3.27		185.27		22.72
3.69		187.92		6.459
4.15		190.29		22.96
4.65		192.88		21.31
5.21		196.34		7.470
5.82		198.93		7.954
6.49		198.97		2.910
7.23		196.05		30.50
8.05		192.57		22.99
8.94		190.61		24.35
9.93		191.01		28.53
11.01		191.99		27.62
12.2		192.84		14.78
13.51		192.67		3.127
14.95		191.7		18.22
16.54		190.8		36.25
18.29		189.94		28.43
